room_type,person_capacity,space_type,region,country,total_booked_nights,total_available_or_booked_nights,month
Entire home/apt,4,Cabin,Westland,Westeros,11.0,28.0,7/1/17
Entire home/apt,2,Apartment,Essos,Pike's Peak,37.0,37.0,7/1/17
Entire home/apt,2,Apartment,Essos,Pike's Peak,14.0,35.0,7/1/17
Entire home/apt,6,Apartment,Essos,Bear Island,6.0,26.0,7/1/17
Entire home/apt,8,House,Westland,Springfield,9.0,19.0,7/1/17
Entire home/apt,2,Apartment,Southland,Dorne,49.0,108.0,7/1/17
Entire home/apt,6,House,Southland,King's Landing,54.0,108.0,7/1/17
Entire home/apt,3,Apartment,Southland,King's Landing,45.0,94.0,7/1/17
Entire home/apt,8,Cabin,La La Land,Tarth,5.0,14.0,7/1/17
Entire home/apt,14,House,Westland,Springfield,7.0,13.0,7/1/17
Entire home/apt,10,Apartment,La La Land,Hornhill,13.0,18.0,7/1/17
Entire home/apt,3,Apartment,Southland,Dorne,18.0,36.0,7/1/17
Private room,2,Apartment,Southland,River run,31.0,130.0,7/1/17
Private room,3,Cabin,La La Land,Tarth,2.0,3.0,7/1/17
Entire home/apt,5,Cabin,Hogwarts,Crownland,14.0,26.0,7/1/17
Private room,15,Cabin,Essos,Pike's Peak,7.0,38.0,7/1/17
Entire home/apt,9,House,Westland,Springfield,7.0,25.0,7/1/17
Entire home/apt,4,House,Westland,Springfield,5.0,9.0,7/1/17
Entire home/apt,2,Apartment,Southland,River run,67.0,108.0,7/1/17
Entire home/apt,2,Apartment,Westland,Springfield,11.0,24.0,7/1/17
Entire home/apt,5,Cabin,Hogwarts,Dragonstone,32.0,32.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,9.0,16.0,7/1/17
Entire home/apt,4,House,Southland,Dorne,31.0,103.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,15.0,19.0,7/1/17
Entire home/apt,3,Cabin,Westland,Springfield,19.0,26.0,7/1/17
Entire home/apt,8,House,Westland,Springfield,7.0,11.0,7/1/17
Entire home/apt,6,Cabin,Essos,Bear Island,0.0,21.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,7.0,26.0,7/1/17
Entire home/apt,2,Cabin,Westland,Springfield,17.0,26.0,7/1/17
Entire home/apt,6,Apartment,Essos,Bear Island,11.0,24.0,7/1/17
Entire home/apt,4,Apartment,Southland,King's Landing,27.0,103.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,14.0,22.0,7/1/17
Entire home/apt,6,House,Westland,Westeros,16.0,36.0,7/1/17
Private room,2,Hotel,Essos,Pike's Peak,1.0,23.0,7/1/17
Entire home/apt,10,Cabin,Essos,High Garden,6.0,35.0,7/1/17
Entire home/apt,5,House,Southland,King's Landing,54.0,90.0,7/1/17
Entire home/apt,2,Cabin,Essos,Bear Island,2.0,18.0,7/1/17
Entire home/apt,2,Apartment,La La Land,Iron Islands,9.0,9.0,7/1/17
Entire home/apt,6,House,Southland,Dorne,9.0,162.0,7/1/17
Entire home/apt,5,House,Westland,Springfield,8.0,15.0,7/1/17
Entire home/apt,2,Cabin,Westland,Springfield,17.0,26.0,7/1/17
Entire home/apt,4,Apartment,Southland,Dorne,67.0,139.0,7/1/17
Private room,2,House,Westland,Springfield,0.0,1.0,7/1/17
Entire home/apt,4,Apartment,Southland,River run,99.0,175.0,7/1/17
Private room,2,House,Westland,Springfield,9.0,12.0,7/1/17
Entire home/apt,2,Apartment,La La Land,Iron Islands,19.0,19.0,7/1/17
Entire home/apt,3,House,Hogwarts,Crownland,30.0,30.0,7/1/17
Entire home/apt,3,House,Westland,Springfield,19.0,25.0,7/1/17
Entire home/apt,6,Cabin,Westland,Springfield,1.0,25.0,7/1/17
Entire home/apt,2,House,Westland,Westeros,8.0,18.0,7/1/17
Private room,4,House,Essos,Bear Island,1.0,24.0,7/1/17
Entire home/apt,2,House,Southland,King's Landing,58.0,112.0,7/1/17
Entire home/apt,6,Apartment,Essos,Bear Island,7.0,16.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,4.0,7.0,7/1/17
Entire home/apt,5,House,Westland,Springfield,2.0,8.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,18.0,26.0,7/1/17
Entire home/apt,4,Apartment,La La Land,Hornhill,6.0,8.0,7/1/17
Entire home/apt,6,Apartment,Westland,Springfield,15.0,21.0,7/1/17
Entire home/apt,6,Apartment,Southland,Dorne,13.0,27.0,7/1/17
Entire home/apt,6,House,Southland,Dorne,49.0,162.0,7/1/17
Entire home/apt,16,Cabin,Westland,Springfield,1.0,4.0,7/1/17
Entire home/apt,2,Apartment,Southland,Dorne,18.0,67.0,7/1/17
Entire home/apt,2,Apartment,Westland,Springfield,18.0,25.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,3.0,12.0,7/1/17
Entire home/apt,2,Apartment,Southland,Dorne,54.0,117.0,7/1/17
Entire home/apt,4,House,Westland,Springfield,13.0,20.0,7/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,28.0,28.0,7/1/17
Private room,1,Apartment,Southland,King's Landing,27.0,45.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,10.0,25.0,7/1/17
Entire home/apt,12,House,Westland,Springfield,9.0,21.0,7/1/17
Entire home/apt,5,House,Westland,Westeros,8.0,18.0,7/1/17
Entire home/apt,6,Apartment,Westland,Springfield,17.0,22.0,7/1/17
Entire home/apt,4,Apartment,Hogwarts,Dragonstone,8.0,8.0,7/1/17
Private room,2,Apartment,La La Land,Iron Islands,16.0,16.0,7/1/17
Entire home/apt,2,Cabin,Westland,Springfield,2.0,10.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,6.0,18.0,7/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,8.0,20.0,7/1/17
Private room,2,Apartment,La La Land,Iron Islands,16.0,19.0,7/1/17
Entire home/apt,4,Cabin,Westland,Springfield,12.0,16.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,16.0,26.0,7/1/17
Entire home/apt,9,Cabin,Westland,Springfield,2.0,4.0,7/1/17
Entire home/apt,2,House,Westland,Westeros,10.0,34.0,7/1/17
Entire home/apt,4,Apartment,Hogwarts,Dragonstone,11.0,32.0,7/1/17
Entire home/apt,4,House,Westland,Springfield,17.0,25.0,7/1/17
Entire home/apt,2,Cabin,Southland,Dorne,81.0,162.0,7/1/17
Entire home/apt,10,House,Southland,Lannisport,49.0,58.0,7/1/17
Entire home/apt,8,House,Westland,Springfield,6.0,23.0,7/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,27.0,32.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,15.0,25.0,7/1/17
Entire home/apt,4,Cabin,Westland,Springfield,2.0,18.0,7/1/17
Entire home/apt,2,Apartment,Essos,Pike's Peak,39.0,39.0,7/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,18.0,38.0,7/1/17
Entire home/apt,16,House,Westland,Springfield,10.0,23.0,7/1/17
Entire home/apt,2,Cabin,Westland,Springfield,10.0,22.0,7/1/17
Entire home/apt,3,Apartment,Westland,Springfield,11.0,23.0,7/1/17
Entire home/apt,2,House,La La Land,Iron Islands,2.0,10.0,7/1/17
Entire home/apt,8,Apartment,Essos,Winterfell,18.0,28.0,7/1/17
Entire home/apt,2,House,Southland,King's Landing,49.0,103.0,7/1/17
Entire home/apt,3,Apartment,Essos,Pike's Peak,36.0,36.0,7/1/17
Private room,4,Cabin,Westland,Springfield,12.0,22.0,7/1/17
Entire home/apt,2,Apartment,Westland,Westeros,12.0,36.0,7/1/17
Entire home/apt,6,Apartment,Westland,Springfield,19.0,25.0,7/1/17
Entire home/apt,2,Cabin,Southland,Dorne,36.0,94.0,7/1/17
Entire home/apt,8,House,Westland,Springfield,12.0,17.0,7/1/17
Entire home/apt,3,Apartment,Southland,King's Landing,27.0,76.0,7/1/17
Entire home/apt,6,Apartment,Essos,Bear Island,9.0,17.0,7/1/17
Private room,2,House,Westland,Springfield,11.0,23.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,4.0,23.0,7/1/17
Entire home/apt,8,House,Essos,Bear Island,0.0,24.0,7/1/17
Entire home/apt,2,Apartment,Essos,Bear Island,16.0,26.0,7/1/17
Entire home/apt,2,Apartment,Southland,River run,31.0,148.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,2.0,14.0,7/1/17
Entire home/apt,6,Apartment,Westland,Springfield,11.0,16.0,7/1/17
Entire home/apt,4,Apartment,La La Land,Iron Islands,15.0,16.0,7/1/17
Entire home/apt,2,Apartment,Westland,Springfield,1.0,1.0,7/1/17
Entire home/apt,2,Apartment,Westland,Springfield,19.0,26.0,7/1/17
Entire home/apt,4,Cabin,Westland,Springfield,11.0,16.0,7/1/17
Entire home/apt,4,Apartment,Westland,Westeros,16.0,36.0,7/1/17
Private room,2,Hotel,Westland,Springfield,0.0,9.0,7/1/17
Entire home/apt,2,Apartment,Essos,Pike's Peak,16.0,36.0,7/1/17
Entire home/apt,4,Cabin,Westland,Springfield,19.0,25.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,8.0,10.0,7/1/17
Private room,2,House,Westland,Springfield,14.0,25.0,7/1/17
Entire home/apt,4,Cabin,Westland,Springfield,19.0,25.0,7/1/17
Entire home/apt,3,Cabin,Westland,Springfield,7.0,21.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,12.0,22.0,7/1/17
Private room,1,House,Westland,Springfield,12.0,18.0,7/1/17
Entire home/apt,7,Apartment,Essos,Pike's Peak,37.0,37.0,7/1/17
Entire home/apt,4,Cabin,Westland,Westeros,12.0,29.0,7/1/17
Entire home/apt,10,House,Essos,Bear Island,6.0,14.0,7/1/17
Entire home/apt,4,Apartment,Southland,River run,85.0,175.0,7/1/17
Entire home/apt,8,House,Essos,Bear Island,9.0,15.0,7/1/17
Entire home/apt,4,House,Southland,Dorne,4.0,63.0,7/1/17
Entire home/apt,6,Apartment,Hogwarts,Dragonstone,26.0,29.0,7/1/17
Entire home/apt,6,House,Southland,River run,9.0,130.0,7/1/17
Entire home/apt,5,Cabin,Southland,King's Landing,22.0,36.0,7/1/17
Entire home/apt,10,House,Westland,Springfield,8.0,20.0,7/1/17
Entire home/apt,5,Apartment,Essos,Bear Island,11.0,21.0,7/1/17
Entire home/apt,4,House,Westland,Springfield,14.0,21.0,7/1/17
Entire home/apt,8,House,Westland,Springfield,15.0,25.0,7/1/17
Entire home/apt,10,House,Westland,Springfield,2.0,26.0,7/1/17
Entire home/apt,4,House,Southland,Dorne,58.0,126.0,7/1/17
Entire home/apt,6,Cabin,Westland,Springfield,3.0,17.0,7/1/17
Entire home/apt,8,Apartment,Essos,Pike's Peak,19.0,38.0,7/1/17
Entire home/apt,3,Apartment,Essos,Bear Island,1.0,15.0,7/1/17
Entire home/apt,8,House,Southland,Dorne,9.0,36.0,7/1/17
Entire home/apt,3,Apartment,Essos,Pike's Peak,14.0,23.0,7/1/17
Entire home/apt,7,House,Hogwarts,Dragonstone,12.0,21.0,7/1/17
Entire home/apt,4,Apartment,Southland,Dorne,67.0,148.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,8.0,19.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,1.0,12.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,8.0,25.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,10.0,19.0,7/1/17
Entire home/apt,4,House,Southland,Dorne,9.0,18.0,7/1/17
Entire home/apt,6,Apartment,Westland,Springfield,17.0,25.0,7/1/17
Entire home/apt,10,House,Hogwarts,Dragonstone,8.0,21.0,7/1/17
Entire home/apt,4,Cabin,Westland,Westeros,2.0,10.0,7/1/17
Entire home/apt,6,Cabin,Westland,Springfield,0.0,9.0,7/1/17
Entire home/apt,4,House,Westland,Springfield,5.0,7.0,7/1/17
Entire home/apt,5,Cabin,Westland,Springfield,15.0,26.0,7/1/17
Entire home/apt,2,House,Westland,Springfield,11.0,14.0,7/1/17
Private room,4,House,La La Land,Iron Islands,8.0,16.0,7/1/17
Private room,4,House,Hogwarts,Crownland,24.0,27.0,7/1/17
Entire home/apt,4,Cabin,Westland,Springfield,5.0,21.0,7/1/17
Entire home/apt,5,Cabin,Westland,Springfield,19.0,26.0,7/1/17
Entire home/apt,4,House,Southland,River run,27.0,90.0,7/1/17
Entire home/apt,8,House,Hogwarts,Dragonstone,9.0,12.0,7/1/17
Hotel room,2,Hotel,Westland,Springfield,2.0,2.0,7/1/17
Entire home/apt,6,Cabin,Westland,Springfield,2.0,10.0,7/1/17
Entire home/apt,8,House,La La Land,Tarth,2.0,14.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,16.0,23.0,7/1/17
Entire home/apt,4,Cabin,Westland,Springfield,11.0,25.0,7/1/17
Entire home/apt,2,Apartment,Southland,King's Landing,31.0,121.0,7/1/17
Entire home/apt,6,Apartment,La La Land,Iron Islands,7.0,10.0,7/1/17
Entire home/apt,10,Cabin,Westland,Springfield,10.0,14.0,7/1/17
Entire home/apt,3,Apartment,La La Land,Oldtown,17.0,24.0,7/1/17
Entire home/apt,3,House,Westland,Westeros,11.0,36.0,7/1/17
Entire home/apt,12,House,Westland,Springfield,8.0,22.0,7/1/17
Entire home/apt,4,House,Essos,Pike's Peak,5.0,31.0,7/1/17
Private room,2,House,Westland,Springfield,9.0,14.0,7/1/17
Private room,2,Apartment,Westland,Springfield,19.0,26.0,7/1/17
Private room,4,House,Essos,Bear Island,3.0,13.0,7/1/17
Entire home/apt,2,Apartment,Westland,Springfield,10.0,24.0,7/1/17
Entire home/apt,2,Cabin,Essos,Bear Island,9.0,22.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,0.0,25.0,7/1/17
Entire home/apt,5,Cabin,Hogwarts,Dragonstone,5.0,20.0,7/1/17
Entire home/apt,8,Apartment,Essos,Pike's Peak,4.0,30.0,7/1/17
Private room,6,House,Essos,Pike's Peak,22.0,35.0,7/1/17
Entire home/apt,5,Apartment,Hogwarts,Dragonstone,29.0,32.0,7/1/17
Entire home/apt,6,House,Southland,Dorne,54.0,135.0,7/1/17
Entire home/apt,6,Cabin,Westland,Springfield,14.0,25.0,7/1/17
Entire home/apt,4,Apartment,Southland,King's Landing,9.0,18.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,4.0,21.0,7/1/17
Entire home/apt,6,Cabin,Westland,Springfield,6.0,9.0,7/1/17
Entire home/apt,2,Apartment,Southland,King's Landing,67.0,117.0,7/1/17
Entire home/apt,10,House,Westland,Springfield,6.0,16.0,7/1/17
Private room,3,Apartment,La La Land,Iron Islands,19.0,19.0,7/1/17
Entire home/apt,2,Cabin,Westland,Springfield,16.0,24.0,7/1/17
Entire home/apt,3,Apartment,Southland,River run,76.0,175.0,7/1/17
Entire home/apt,4,Apartment,Southland,Dorne,0.0,0.0,7/1/17
Entire home/apt,6,Apartment,Westland,Springfield,16.0,22.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,20.0,25.0,7/1/17
Entire home/apt,4,Cabin,Hogwarts,Dragonstone,15.0,20.0,7/1/17
Entire home/apt,2,Apartment,Westland,Springfield,18.0,25.0,7/1/17
Private room,2,House,Westland,Springfield,7.0,21.0,7/1/17
Private room,2,Hotel,Westland,Springfield,9.0,21.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,5.0,13.0,7/1/17
Entire home/apt,3,Apartment,Essos,Bear Island,6.0,17.0,7/1/17
Entire home/apt,4,Cabin,Westland,Springfield,17.0,24.0,7/1/17
Private room,2,House,Hogwarts,Dragonstone,18.0,31.0,7/1/17
Entire home/apt,9,House,Westland,Springfield,3.0,5.0,7/1/17
Entire home/apt,4,Apartment,Essos,Winterfell,19.0,25.0,7/1/17
Private room,2,Cabin,Southland,Dorne,54.0,139.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,16.0,23.0,7/1/17
Entire home/apt,9,Cabin,Westland,Springfield,4.0,15.0,7/1/17
Entire home/apt,7,Apartment,La La Land,Iron Islands,17.0,19.0,7/1/17
Entire home/apt,6,Cabin,Westland,Springfield,12.0,17.0,7/1/17
Entire home/apt,2,Cabin,Westland,Springfield,17.0,21.0,7/1/17
Entire home/apt,10,House,La La Land,Iron Islands,1.0,17.0,7/1/17
Private room,2,Cabin,Westland,Springfield,11.0,23.0,7/1/17
Private room,2,Cabin,Southland,King's Landing,72.0,108.0,7/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,9.0,14.0,7/1/17
Private room,2,Apartment,Southland,Dorne,67.0,162.0,7/1/17
Entire home/apt,4,Apartment,Southland,King's Landing,31.0,67.0,7/1/17
Entire home/apt,2,Cabin,Hogwarts,Dragonstone,18.0,24.0,7/1/17
Entire home/apt,4,Apartment,Westland,Westeros,15.0,33.0,7/1/17
Entire home/apt,6,Cabin,Westland,Springfield,8.0,12.0,7/1/17
Entire home/apt,3,Apartment,Hogwarts,Crownland,29.0,29.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,6.0,8.0,7/1/17
Private room,2,Cabin,Southland,Lannisport,4.0,166.0,7/1/17
Private room,4,Hotel,Hogwarts,Crownland,5.0,27.0,7/1/17
Entire home/apt,12,House,Westland,Springfield,3.0,11.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,9.0,22.0,7/1/17
Entire home/apt,2,Apartment,Southland,River run,45.0,103.0,7/1/17
Entire home/apt,9,Apartment,Westland,Springfield,12.0,16.0,7/1/17
Entire home/apt,5,Apartment,Essos,Bear Island,2.0,26.0,7/1/17
Entire home/apt,8,Apartment,La La Land,Iron Islands,3.0,7.0,7/1/17
Entire home/apt,4,House,Westland,Springfield,14.0,25.0,7/1/17
Entire home/apt,4,House,Westland,Springfield,11.0,24.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,11.0,25.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,19.0,26.0,7/1/17
Entire home/apt,6,House,Westland,Westeros,15.0,36.0,7/1/17
Entire home/apt,5,Apartment,Essos,High Garden,9.0,10.0,7/1/17
Entire home/apt,8,House,Westland,Springfield,18.0,25.0,7/1/17
Entire home/apt,8,House,Westland,Springfield,8.0,23.0,7/1/17
Entire home/apt,5,Apartment,Essos,High Garden,18.0,25.0,7/1/17
Private room,6,Cabin,Southland,King's Landing,22.0,121.0,7/1/17
Entire home/apt,2,Apartment,Hogwarts,Dragonstone,22.0,26.0,7/1/17
Entire home/apt,4,Apartment,Southland,King's Landing,45.0,108.0,7/1/17
Entire home/apt,6,Apartment,Essos,Bear Island,11.0,26.0,7/1/17
Entire home/apt,2,Cabin,Hogwarts,Dragonstone,16.0,19.0,7/1/17
Entire home/apt,2,Apartment,Essos,Bear Island,16.0,26.0,7/1/17
Entire home/apt,6,Apartment,Westland,Springfield,14.0,24.0,7/1/17
Entire home/apt,16,House,Westland,Springfield,14.0,22.0,7/1/17
Private room,2,House,Southland,Dorne,40.0,94.0,7/1/17
Shared room,1,Apartment,Southland,King's Landing,4.0,36.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,4.0,22.0,7/1/17
Entire home/apt,4,Apartment,Southland,River run,103.0,175.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,6.0,25.0,7/1/17
Entire home/apt,2,Apartment,La La Land,Iron Islands,9.0,17.0,7/1/17
Entire home/apt,6,House,Southland,King's Landing,31.0,72.0,7/1/17
Private room,2,Hotel,Westland,Springfield,5.0,26.0,7/1/17
Entire home/apt,8,House,Westland,Springfield,4.0,5.0,7/1/17
Entire home/apt,2,Apartment,Essos,Pike's Peak,3.0,36.0,7/1/17
Entire home/apt,8,House,Hogwarts,Dragonstone,18.0,29.0,7/1/17
Private room,1,House,Southland,King's Landing,27.0,67.0,7/1/17
Entire home/apt,8,Apartment,La La Land,Oldtown,18.0,24.0,7/1/17
Entire home/apt,2,Apartment,Westland,Springfield,18.0,25.0,7/1/17
Entire home/apt,3,Apartment,Southland,Dorne,31.0,81.0,7/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,14.0,23.0,7/1/17
Entire home/apt,7,Apartment,Essos,Pike's Peak,3.0,36.0,7/1/17
Entire home/apt,3,Cabin,Essos,Pike's Peak,23.0,37.0,7/1/17
Entire home/apt,12,Cabin,Westland,Springfield,1.0,8.0,7/1/17
Entire home/apt,5,Apartment,Westland,Springfield,8.0,16.0,7/1/17
Entire home/apt,7,House,Westland,Springfield,9.0,20.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,15.0,25.0,7/1/17
Entire home/apt,6,Apartment,Essos,Pike's Peak,8.0,16.0,7/1/17
Entire home/apt,6,House,Essos,Bear Island,15.0,26.0,7/1/17
Entire home/apt,8,House,Hogwarts,Dragonstone,4.0,27.0,7/1/17
Entire home/apt,10,House,Hogwarts,Dragonstone,1.0,7.0,7/1/17
Entire home/apt,10,Apartment,Westland,Springfield,13.0,26.0,7/1/17
Entire home/apt,4,House,Southland,King's Landing,9.0,117.0,7/1/17
Entire home/apt,2,Apartment,Westland,Springfield,15.0,22.0,7/1/17
Entire home/apt,6,House,Southland,River run,94.0,157.0,7/1/17
Entire home/apt,8,Apartment,La La Land,Iron Islands,16.0,18.0,7/1/17
Entire home/apt,3,Apartment,Southland,Lannisport,180.0,189.0,7/1/17
Entire home/apt,2,Cabin,Westland,Springfield,8.0,26.0,7/1/17
Private room,2,Apartment,Essos,Bear Island,17.0,26.0,7/1/17
Entire home/apt,3,Apartment,Essos,Bear Island,10.0,22.0,7/1/17
Entire home/apt,4,House,Essos,Bear Island,1.0,11.0,7/1/17
Entire home/apt,4,Apartment,Westland,Springfield,12.0,21.0,7/1/17
Entire home/apt,2,Apartment,La La Land,Iron Islands,11.0,11.0,7/1/17
Entire home/apt,4,House,Westland,Springfield,9.0,19.0,7/1/17
Private room,3,House,Westland,Westeros,15.0,34.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,4.0,25.0,7/1/17
Entire home/apt,3,Apartment,Southland,King's Landing,49.0,81.0,7/1/17
Hotel room,2,Hotel,Essos,Bear Island,15.0,26.0,7/1/17
Entire home/apt,6,Cabin,Westland,Springfield,3.0,21.0,7/1/17
Entire home/apt,3,Apartment,Westland,Springfield,15.0,25.0,7/1/17
Entire home/apt,3,Apartment,Southland,King's Landing,36.0,63.0,7/1/17
Entire home/apt,2,Apartment,Westland,Springfield,11.0,26.0,7/1/17
Entire home/apt,4,Apartment,Southland,Dorne,67.0,144.0,7/1/17
Entire home/apt,4,House,Westland,Springfield,18.0,25.0,7/1/17
Entire home/apt,2,Apartment,Westland,Springfield,11.0,18.0,7/1/17
Entire home/apt,7,House,Southland,Dorne,72.0,157.0,7/1/17
Entire home/apt,7,Apartment,La La Land,Oldtown,16.0,24.0,7/1/17
Entire home/apt,6,Cabin,Westland,Westeros,10.0,29.0,7/1/17
Entire home/apt,8,House,Westland,Springfield,1.0,2.0,7/1/17
Entire home/apt,2,Cabin,Westland,Springfield,16.0,25.0,7/1/17
Entire home/apt,16,House,Essos,Pike's Peak,10.0,35.0,7/1/17
Entire home/apt,2,Cabin,Westland,Springfield,6.0,17.0,7/1/17
Entire home/apt,8,House,Westland,Springfield,15.0,23.0,7/1/17
Entire home/apt,4,House,Westland,Springfield,8.0,25.0,7/1/17
Entire home/apt,4,Apartment,Southland,King's Landing,13.0,121.0,7/1/17
Entire home/apt,2,House,Southland,Dorne,40.0,90.0,7/1/17
Entire home/apt,5,Apartment,La La Land,Iron Islands,19.0,19.0,7/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,2.0,3.0,7/1/17
Private room,2,Cabin,Westland,Springfield,10.0,15.0,7/1/17
Entire home/apt,6,Apartment,Westland,Westeros,2.0,25.0,7/1/17
Entire home/apt,10,House,Hogwarts,Dragonstone,2.0,32.0,7/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,17.0,26.0,7/1/17
Entire home/apt,6,House,Hogwarts,Crownland,3.0,25.0,7/1/17
Private room,2,House,Southland,King's Landing,4.0,63.0,7/1/17
Entire home/apt,6,Cabin,Westland,Springfield,1.0,21.0,7/1/17
Entire home/apt,4,Cabin,Westland,Springfield,14.0,18.0,7/1/17
Entire home/apt,2,Apartment,Hogwarts,Crownland,27.0,27.0,7/1/17
Entire home/apt,8,House,Westland,Springfield,17.0,25.0,7/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,13.0,22.0,7/1/17
Entire home/apt,4,Cabin,Westland,Springfield,3.0,4.0,7/1/17
Entire home/apt,4,Cabin,Westland,Springfield,12.0,19.0,7/1/17
Entire home/apt,2,House,Essos,Bear Island,16.0,25.0,7/1/17
Entire home/apt,6,Cabin,Southland,Lannisport,36.0,99.0,7/1/17
Entire home/apt,7,House,Westland,Springfield,11.0,25.0,7/1/17
Entire home/apt,10,Cabin,Westland,Springfield,2.0,26.0,7/1/17
Entire home/apt,2,Cabin,Westland,Springfield,19.0,26.0,7/1/17
Entire home/apt,6,Apartment,Westland,Springfield,11.0,22.0,7/1/17
Entire home/apt,4,Apartment,Southland,King's Landing,49.0,99.0,7/1/17
Entire home/apt,3,Cabin,Westland,Springfield,19.0,25.0,7/1/17
Entire home/apt,3,Cabin,Westland,Springfield,14.0,19.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,1.0,10.0,7/1/17
Entire home/apt,3,Cabin,Westland,Springfield,17.0,23.0,7/1/17
Entire home/apt,12,House,Westland,Springfield,3.0,17.0,7/1/17
Private room,2,House,La La Land,Iron Islands,4.0,6.0,7/1/17
Entire home/apt,3,Apartment,Westland,Springfield,20.0,26.0,7/1/17
Entire home/apt,2,Apartment,La La Land,Iron Islands,17.0,17.0,7/1/17
Entire home/apt,3,Cabin,Westland,Westeros,12.0,35.0,7/1/17
Entire home/apt,6,Apartment,Southland,Dorne,58.0,121.0,7/1/17
Hotel room,3,Hotel,Hogwarts,Crownland,8.0,20.0,7/1/17
Entire home/apt,7,House,Westland,Springfield,12.0,18.0,7/1/17
Entire home/apt,6,Apartment,Essos,Pike's Peak,35.0,37.0,7/1/17
Entire home/apt,2,Cabin,Hogwarts,Dragonstone,4.0,26.0,7/1/17
Entire home/apt,6,Apartment,Westland,Springfield,17.0,26.0,7/1/17
Private room,2,Cabin,Westland,Springfield,7.0,13.0,7/1/17
Entire home/apt,6,Apartment,Westland,Springfield,18.0,26.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,11.0,17.0,7/1/17
Entire home/apt,2,Apartment,Essos,Bear Island,10.0,23.0,7/1/17
Private room,6,House,Westland,Westeros,14.0,35.0,7/1/17
Entire home/apt,4,House,Westland,Springfield,10.0,23.0,7/1/17
Entire home/apt,8,House,Hogwarts,Dragonstone,15.0,28.0,7/1/17
Private room,2,Cabin,Essos,Bear Island,3.0,20.0,7/1/17
Entire home/apt,5,Apartment,La La Land,Oldtown,18.0,23.0,7/1/17
Entire home/apt,6,Cabin,Westland,Springfield,3.0,4.0,7/1/17
Entire home/apt,4,House,Southland,Lannisport,99.0,166.0,7/1/17
Private room,2,Cabin,Westland,Springfield,19.0,26.0,7/1/17
Private room,2,House,Hogwarts,Dragonstone,8.0,16.0,7/1/17
Entire home/apt,6,Apartment,Westland,Springfield,19.0,25.0,7/1/17
Entire home/apt,6,House,Westland,Springfield,17.0,24.0,7/1/17
Private room,1,House,Westland,Springfield,11.0,26.0,7/1/17
Entire home/apt,3,Cabin,Westland,Springfield,8.0,10.0,7/1/17
Entire home/apt,2,Apartment,Essos,Winterfell,2.0,24.0,7/1/17
Entire home/apt,2,Apartment,Westland,Westeros,2.0,35.0,7/1/17
Entire home/apt,1,Apartment,Southland,River run,108.0,162.0,7/1/17
Entire home/apt,4,Cabin,Westland,Springfield,16.0,25.0,7/1/17
Entire home/apt,6,Cabin,Westland,Springfield,14.0,19.0,7/1/17
